  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(17_16)Mean,  d(18_16)Mean,    d(D_H)Mean,      E17_Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(17_16)_SD,   d(18_16)_SD,     d(D_H)_SD,        E17_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
    11,    P-2463,   2024/08/27 10:17:09,           1-01,      11,        -9.812,       -12.453,        32.056,        -3.244,         19522,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724754103.98,         0.249,         0.186,         0.340,         0.174,        90.871,        -0.000,        -0.001,         1.437,       105.228,        11.609,         2.735,       137.864,         1.026,         1.290,        0.0000,        0.0000,    1,        44.188,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    12,    P-2463,   2024/08/27 10:26:23,           1-01,      12,        -9.765,       -12.463,        31.951,        -3.191,         19594,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724754658.60,         0.217,         0.175,         0.301,         0.151,        92.703,        -0.000,        -0.000,         1.466,       105.590,        11.780,         2.740,       138.331,         1.025,         1.229,        0.0000,       -0.0001,    1,        44.312,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    13,    P-2463,   2024/08/27 10:35:39,           1-01,      13,        -9.799,       -12.417,        32.163,        -3.251,         19539,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724755213.40,         0.240,         0.190,         0.369,         0.168,        92.110,        -0.001,        -0.002,         1.462,       105.379,        11.586,         2.731,       137.632,         1.026,         1.227,        0.0000,        0.0001,    1,        44.312,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    14,    P-2463,   2024/08/27 10:44:53,           1-01,      14,        -9.824,       -12.467,        32.115,        -3.249,         19492,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724755768.65,         0.220,         0.189,         0.377,         0.153,        90.738,        -0.001,        -0.003,         1.445,       105.048,        11.574,         2.738,       137.610,         1.025,         1.303,       -0.0000,        0.0000,    1,        44.250,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    15,    P-2463,   2024/08/27 10:54:09,           1-01,      15,        -9.827,       -12.483,        32.112,        -3.243,         19566,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724756323.72,         0.253,         0.194,         0.401,         0.173,        90.759,        -0.000,        -0.003,         1.442,       105.438,        11.646,         2.750,       138.229,         1.027,         1.320,       -0.0000,        0.0000,    1,        44.250,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    16,    P-2463,   2024/08/27 11:03:23,           1-01,      16,        -9.782,       -12.433,        32.090,        -3.224,         19467,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724756878.24,         0.233,         0.181,         0.332,         0.166,        93.904,        -0.000,        -0.001,         1.488,       104.893,        11.641,         2.723,       137.356,         1.027,         1.273,        0.0000,        0.0000,    1,        44.250,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    17,    P-2463,   2024/08/27 11:12:37,           1-01,      17,        -9.755,       -12.455,        32.019,        -3.186,         19502,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724757432.38,         0.241,         0.184,         0.353,         0.167,        93.127,        -0.000,        -0.001,         1.472,       105.142,        11.554,         2.727,       137.814,         1.025,         1.195,       -0.0000,       -0.0000,    1,        44.250,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    18,    P-2463,   2024/08/27 11:21:52,           1-01,      18,        -9.776,       -12.456,        32.080,        -3.206,         19490,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724757987.42,         0.229,         0.180,         0.317,         0.164,        92.553,         0.000,        -0.000,         1.468,       105.052,        11.734,         2.716,       137.223,         1.024,         1.237,        0.0000,       -0.0000,    1,        44.375,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    19,    P-2463,   2024/08/27 11:31:07,           1-01,      19,        -9.796,       -12.457,        32.099,        -3.225,         19834,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724758538.16,         0.216,         0.173,         0.303,         0.157,        92.239,         0.000,        -0.001,         1.523,       107.012,        11.794,         2.784,       139.938,         1.027,         1.244,       -0.0000,       -0.0000,    1,        44.375,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    20,    P-2463,   2024/08/27 11:40:23,           1-01,      20,        -9.789,       -12.475,        32.068,        -3.210,         19255,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724759097.74,         0.228,         0.169,         0.338,         0.176,        91.003,         0.001,         0.001,         1.453,       103.657,        11.540,         2.698,       136.178,         1.023,         1.299,        0.0000,       -0.0000,    1,        44.375,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    21,    P-2463,   2024/08/27 11:49:37,           1-01,      21,        -9.763,       -12.409,        32.275,        -3.218,         19365,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724759652.49,         0.238,         0.177,         0.326,         0.167,        90.447,         0.000,        -0.001,         1.446,       104.370,        11.484,         2.713,       136.685,         1.025,         1.255,        0.0000,        0.0000,    1,        44.375,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    22,    P-2463,   2024/08/27 11:58:52,           1-01,      22,        -9.795,       -12.492,        32.055,        -3.206,         19485,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724760207.11,         0.234,         0.177,         0.338,         0.169,        91.293,         0.000,        -0.002,         1.450,       104.978,        11.497,         2.750,       138.177,         1.025,         1.325,        0.0000,       -0.0001,    1,        44.375,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    23,    P-2463,   2024/08/27 12:08:07,           1-01,      23,        -9.765,       -12.426,        32.104,        -3.211,         19313,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724760762.27,         0.245,         0.194,         0.346,         0.169,        93.968,         0.000,        -0.001,         1.494,       104.078,        11.460,         2.698,       136.382,         1.026,         1.167,       -0.0000,       -0.0000,    1,        44.312,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    24,    P-2463,   2024/08/27 12:17:23,           1-01,      24,        -9.744,       -12.359,        32.286,        -3.225,         19272,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724761318.12,         0.252,         0.195,         0.341,         0.178,        92.944,        -0.001,        -0.000,         1.482,       103.878,        11.355,         2.700,       135.991,         1.025,         1.251,        0.0000,        0.0001,    1,        44.312,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    25,    P-2463,   2024/08/27 12:26:38,           1-01,      25,        -9.767,       -12.447,        32.102,        -3.201,         19327,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724761873.07,         0.227,         0.172,         0.320,         0.158,        92.712,        -0.000,        -0.001,         1.476,       104.161,        11.570,         2.698,       136.148,         1.025,         1.172,        0.0000,       -0.0000,    1,        44.312,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    26,    P-2463,   2024/08/27 12:35:53,           1-01,      26,        -9.807,       -12.485,        32.065,        -3.223,         19346,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724762428.11,         0.215,         0.164,         0.304,         0.159,        92.706,        -0.000,        -0.001,         1.474,       104.136,        11.610,         2.715,       137.019,         1.026,         1.336,        0.0000,       -0.0000,    1,        44.312,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    27,    P-2463,   2024/08/27 12:45:08,           1-01,      27,        -9.742,       -12.423,        32.115,        -3.189,         19340,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724762982.83,         0.219,         0.167,         0.381,         0.164,        90.549,        -0.000,        -0.003,         1.455,       104.241,        11.503,         2.701,       136.499,         1.025,         1.177,        0.0000,       -0.0000,    1,        44.250,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    28,    P-2463,   2024/08/27 12:54:23,           1-01,      28,        -9.787,       -12.414,        32.252,        -3.240,         19420,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724763538.13,         0.234,         0.185,         0.312,         0.161,        92.011,        -0.000,         0.000,         1.470,       104.691,        11.579,         2.717,       136.795,         1.027,         1.234,        0.0000,        0.0000,    1,        44.250,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    29,    P-2463,   2024/08/27 13:03:37,           1-01,      29,        -9.790,       -12.445,        32.027,        -3.227,         19355,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724764092.47,         0.233,         0.188,         0.348,         0.160,        93.191,        -0.001,        -0.002,         1.493,       104.312,        11.530,         2.705,       136.503,         1.026,         1.183,        0.0000,       -0.0000,    1,        44.250,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    30,    P-2463,   2024/08/27 13:12:52,           1-01,      30,        -9.820,       -12.466,        32.216,        -3.245,         19418,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724764646.89,         0.246,         0.175,         0.347,         0.178,        92.615,        -0.000,        -0.000,         1.477,       104.581,        11.591,         2.720,       137.311,         1.025,         1.301,        0.0000,        0.0000,    1,        44.312,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    31,    P-2463,   2024/08/27 13:22:07,           1-01,      31,        -9.812,       -12.436,        32.285,        -3.253,         19379,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724765201.75,         0.228,         0.191,         0.346,         0.158,        94.242,        -0.001,        -0.001,         1.501,       104.379,        11.439,         2.725,       137.196,         1.025,         1.366,       -0.0000,        0.0000,    1,        44.375,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    32,    P-2463,   2024/08/27 13:31:22,           1-01,      32,        -9.806,       -12.473,        32.193,        -3.227,         19482,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724765757.31,         0.213,         0.174,         0.329,         0.152,        94.594,        -0.000,        -0.000,         1.503,       104.978,        11.497,         2.750,       138.039,         1.025,         1.352,        0.0000,       -0.0000,    1,        44.438,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    33,    P-2463,   2024/08/27 13:40:39,           1-01,      33,        -9.838,       -12.461,        32.274,        -3.266,         19532,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724766313.59,         0.233,         0.176,         0.371,         0.169,        92.694,        -0.001,        -0.002,         1.470,       105.215,        11.670,         2.746,       138.007,         1.026,         1.385,        0.0000,        0.0000,    1,        44.438,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    34,    P-2463,   2024/08/27 13:49:53,           1-01,      34,        -9.756,       -12.379,        32.252,        -3.227,         19534,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724766868.36,         0.204,         0.166,         0.295,         0.143,        94.061,         0.000,         0.000,         1.497,       105.371,        11.553,         2.728,       137.650,         1.027,         1.227,       -0.0000,        0.0000,    1,        44.438,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    35,    P-2463,   2024/08/27 13:59:08,           1-01,      35,        -9.803,       -12.459,        32.179,        -3.231,         19397,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724767423.41,         0.220,         0.169,         0.304,         0.155,        92.216,        -0.000,        -0.001,         1.483,       104.486,        11.652,         2.711,       136.797,         1.026,         1.241,        0.0000,       -0.0000,    1,        44.438,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    36,    P-2463,   2024/08/27 14:08:23,           1-01,      36,        -9.765,       -12.440,        32.146,        -3.203,         19382,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724767978.19,         0.240,         0.178,         0.330,         0.171,        94.678,         0.000,         0.000,         1.504,       104.405,        11.648,         2.716,       136.791,         1.026,         1.293,        0.0000,       -0.0000,    1,        44.438,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    37,    P-2463,   2024/08/27 14:17:37,           1-01,      37,        -9.839,       -12.464,        32.275,        -3.266,         19440,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724768531.94,         0.241,         0.183,         0.326,         0.174,        93.306,        -0.000,        -0.001,         1.493,       104.735,        11.615,         2.730,       137.086,         1.024,         1.275,        0.0000,        0.0000,    1,        44.375,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    38,    P-2463,   2024/08/27 14:26:52,           1-01,      38,        -9.750,       -12.406,        32.212,        -3.207,         19475,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724769086.97,         0.212,         0.177,         0.347,         0.151,        92.023,        -0.000,        -0.002,         1.466,       104.975,        11.487,         2.731,       137.736,         1.027,         1.253,        0.0000,        0.0000,    1,        44.375,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    39,    P-2463,   2024/08/27 14:36:07,           1-01,      39,        -9.799,       -12.467,        32.140,        -3.223,         19430,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724769642.25,         0.229,         0.179,         0.300,         0.165,        93.831,        -0.000,         0.000,         1.500,       104.674,        11.663,         2.714,       137.099,         1.024,         1.240,       -0.0000,       -0.0000,    1,        44.312,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    40,    P-2463,   2024/08/27 14:45:22,           1-01,      40,        -9.790,       -12.429,        32.274,        -3.235,         19365,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724770197.49,         0.218,         0.167,         0.318,         0.156,        92.675,        -0.000,        -0.001,         1.481,       104.289,        11.545,         2.725,       136.825,         1.026,         1.358,       -0.0000,        0.0000,    1,        44.250,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    41,    P-2463,   2024/08/27 14:54:37,           1-01,      41,        -9.785,       -12.459,        32.144,        -3.213,         19483,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724770751.71,         0.224,         0.179,         0.327,         0.164,        92.531,         0.001,         0.002,         1.472,       104.918,        11.804,         2.725,       137.478,         1.026,         1.278,        0.0000,       -0.0000,    1,        44.250,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    42,    P-2463,   2024/08/27 15:03:51,           1-01,      42,        -9.783,       -12.446,        32.229,        -3.219,         19233,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724771306.39,         0.222,         0.179,         0.328,         0.153,        95.379,         0.000,         0.000,         1.509,       103.526,        11.586,         2.690,       135.861,         1.023,         1.298,        0.0000,       -0.0000,    1,        44.250,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    43,    P-2463,   2024/08/27 15:13:05,           1-01,      43,        -9.797,       -12.430,        32.303,        -3.241,         19329,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724771860.87,         0.252,         0.182,         0.340,         0.178,        92.589,        -0.000,        -0.001,         1.480,       104.099,        11.503,         2.716,       136.667,         1.024,         1.330,       -0.0000,        0.0000,    1,        44.188,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    44,    P-2463,   2024/08/27 15:22:20,           1-01,      44,        -9.790,       -12.439,        32.317,        -3.229,         19442,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724772414.75,         0.242,         0.183,         0.347,         0.171,        93.783,        -0.000,         0.000,         1.489,       104.760,        11.597,         2.726,       137.187,         1.026,         1.284,       -0.0000,        0.0000,    1,        44.188,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    45,    P-2463,   2024/08/27 15:31:34,           1-01,      45,        -9.793,       -12.486,        32.149,        -3.207,         19484,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724772965.26,         0.218,         0.171,         0.308,         0.159,        91.522,         0.001,         0.001,         1.529,       104.908,        11.614,         2.745,       138.223,         1.025,         1.354,        0.0000,       -0.0000,    1,        44.188,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    46,    P-2463,   2024/08/27 15:40:50,           1-01,      46,        -9.793,       -12.486,        32.151,        -3.207,         19301,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724773520.46,         0.248,         0.192,         0.358,         0.180,        91.717,         0.001,         0.000,         1.517,       103.893,        11.607,         2.703,       136.535,         1.025,         1.276,        0.0000,       -0.0001,    1,        44.188,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    47,    P-2463,   2024/08/27 15:50:04,           1-01,      47,        -9.843,       -12.465,        32.236,        -3.269,         19454,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724774079.60,         0.232,         0.184,         0.364,         0.164,        93.479,        -0.000,        -0.003,         1.486,       104.797,        11.669,         2.731,       137.199,         1.026,         1.320,       -0.0000,        0.0000,    1,        44.188,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    48,    P-2463,   2024/08/27 15:59:19,           1-01,      48,        -9.794,       -12.497,        32.111,        -3.203,         19474,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724774634.39,         0.217,         0.167,         0.323,         0.153,        93.469,         0.000,         0.001,         1.495,       104.911,        11.822,         2.716,       137.278,         1.024,         1.213,        0.0000,       -0.0001,    1,        44.125,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    49,    P-2463,   2024/08/27 16:08:34,           1-01,      49,        -9.778,       -12.438,        32.237,        -3.217,         19391,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724775189.08,         0.238,         0.200,         0.366,         0.167,        94.630,         0.000,         0.001,         1.506,       104.508,        11.599,         2.708,       136.658,         1.025,         1.168,        0.0000,       -0.0000,    1,        44.125,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    50,    P-2463,   2024/08/27 16:17:49,           1-01,      50,        -9.779,       -12.430,        32.263,        -3.222,         19421,       0,    1,                                 BERMUDA,                                     STD,                 H2O, 1724775743.84,         0.254,         0.190,         0.351,         0.179,        94.330,        -0.000,        -0.000,         1.495,       104.648,        11.617,         2.719,       137.022,         1.026,         1.249,        0.0000,        0.0000,    1,        44.125,         1,       1,       1,20kPPM_O17_Single_Stroke,       0,       1
    51,    P-2464,   2024/08/27 16:27:04,           1-02,       1,        -9.733,       -12.193,        40.979,        -3.304,         19080,      -1,    1,                                   OH_32,                                  SAMPLE,                 H2O, 1724776299.44,         0.221,         0.168,         0.360,         0.161,        94.262,        -0.000,        -0.001,         1.498,       102.673,        11.410,         2.681,       134.877,         1.022,         1.293,        0.0000,        0.0000,    1,        44.125,         1,       2,       2,20kPPM_O17_Single_Stroke,       0,       1
    52,    P-2464,   2024/08/27 16:36:19,           1-02,       2,        -9.666,       -12.148,        41.369,        -3.260,         19411,      -1,    1,                                   OH_32,                                  SAMPLE,                 H2O, 1724776854.12,         0.242,         0.182,         0.319,         0.166,        92.323,         0.001,        -0.001,         1.471,       104.542,        11.440,         2.732,       137.795,         1.025,         1.291,        0.0000,       -0.0000,    1,        44.125,         1,       2,       2,20kPPM_O17_Single_Stroke,       0,       1
    53,    P-2464,   2024/08/27 16:45:34,           1-02,       3,        -9.689,       -12.138,        41.451,        -3.288,         19398,      -1,    1,                                   OH_32,                                  SAMPLE,                 H2O, 1724777408.91,         0.228,         0.184,         0.351,         0.160,        95.027,        -0.000,        -0.001,         1.515,       104.514,        11.552,         2.721,       137.038,         1.024,         1.219,       -0.0000,       -0.0000,    1,        44.125,         1,       2,       2,20kPPM_O17_Single_Stroke,       0,       1
    54,    P-2464,   2024/08/27 16:54:49,           1-02,       4,        -9.629,       -12.131,        41.461,        -3.232,         19572,       0,    1,                                   OH_32,                                  SAMPLE,                 H2O, 1724777964.21,         0.239,         0.177,         0.335,         0.174,        95.144,         0.000,        -0.001,         1.508,       105.528,        11.687,         2.736,       138.039,         1.026,         1.193,       -0.0000,       -0.0000,    1,        44.125,         1,       2,       2,20kPPM_O17_Single_Stroke,       0,       1
    55,    P-2464,   2024/08/27 17:04:04,           1-02,       5,        -9.630,       -12.141,        41.487,        -3.226,         19523,       0,    1,                                   OH_32,                                  SAMPLE,                 H2O, 1724778518.73,         0.259,         0.183,         0.319,         0.184,        92.939,         0.000,         0.000,         1.488,       105.236,        11.572,         2.740,       138.048,         1.025,         1.219,        0.0000,       -0.0000,    1,        44.062,         1,       2,       2,20kPPM_O17_Single_Stroke,       0,       1
    56,    P-2464,   2024/08/27 17:13:19,           1-02,       6,        -9.712,       -12.127,        41.668,        -3.317,         19485,       0,    1,                                   OH_32,                                  SAMPLE,                 H2O, 1724779073.78,         0.230,         0.195,         0.370,         0.161,        96.584,        -0.001,        -0.002,         1.542,       104.895,        11.562,         2.749,       138.207,         1.025,         1.422,        0.0000,        0.0000,    1,        44.125,         1,       2,       2,20kPPM_O17_Single_Stroke,       0,       1
    57,    P-2464,   2024/08/27 17:22:34,           1-02,       7,        -9.646,       -12.086,        41.694,        -3.272,         19539,       0,    1,                                   OH_32,                                  SAMPLE,                 H2O, 1724779629.27,         0.218,         0.172,         0.342,         0.158,        93.279,        -0.001,        -0.002,         1.497,       105.379,        11.485,         2.741,       138.010,         1.026,         1.187,       -0.0000,        0.0000,    1,        44.188,         1,       2,       2,20kPPM_O17_Single_Stroke,       0,       1
    58,    P-2464,   2024/08/27 17:31:49,           1-02,       8,        -9.626,       -12.142,        41.547,        -3.222,         19488,       0,    1,                                   OH_32,                                  SAMPLE,                 H2O, 1724780184.44,         0.223,         0.184,         0.338,         0.155,        95.370,        -0.000,        -0.001,         1.535,       105.019,        11.586,         2.733,       137.895,         1.025,         1.195,       -0.0000,       -0.0001,    1,        44.312,         1,       2,       2,20kPPM_O17_Single_Stroke,       0,       1
    59,    P-2464,   2024/08/27 17:41:04,           1-02,       9,        -9.686,       -12.168,        41.588,        -3.270,         19508,       0,    1,                                   OH_32,                                  SAMPLE,                 H2O, 1724780739.49,         0.237,         0.186,         0.374,         0.171,        93.508,        -0.000,        -0.003,         1.489,       105.101,        11.492,         2.751,       138.485,         1.024,         1.362,        0.0000,       -0.0000,    1,        44.312,         1,       2,       2,20kPPM_O17_Single_Stroke,       0,       1
    60,    P-2464,   2024/08/27 17:50:19,           1-02,      10,        -9.694,       -12.146,        41.658,        -3.290,         19534,       0,    1,                                   OH_32,                                  SAMPLE,                 H2O, 1724781294.51,         0.224,         0.160,         0.293,         0.160,        93.151,         0.000,        -0.000,         1.479,       105.289,        11.522,         2.749,       138.331,         1.027,         1.326,        0.0000,        0.0000,    1,        44.375,         1,       2,       2,20kPPM_O17_Single_Stroke,       0,       1
    61,    P-2464,   2024/08/27 17:59:34,           1-02,      11,        -9.658,       -12.111,        41.734,        -3.271,         19503,       0,    1,                                   OH_32,                                  SAMPLE,                 H2O, 1724781849.51,         0.249,         0.187,         0.345,         0.175,        95.433,        -0.000,         0.001,         1.522,       105.154,        11.551,         2.735,       137.611,         1.026,         1.212,       -0.0000,        0.0000,    1,        44.312,         1,       2,       2,20kPPM_O17_Single_Stroke,       0,       1
